ID	Species	zooregions
520	Amietophrynus_mauritanicus	PALEARTIC
521	Batrachuperus_londongensis	MALASIA
522	Bolitoglossa_psephena	NEOTROPICAL
523	Rana_areolata	NEARTIC
524	Fejervarya_parambikulamana	MALASIA
525	Oxydactyla_coggeri	AUSTRALIA
526	Leptodactylus_pustulatus	NEOTROPICAL
527	Albericus_murritus	AUSTRALIA
528	Pseudophilautus_newtonjayawardanei	MALASIA
529	Pseudopaludicola_saltica	NEOTROPICAL
530	Xenopus_lenduensis	AFROTROPICAL
531	Hyperolius_adspersus	AFROTROPICAL
532	Hypsiboas_stenocephalus	NEOTROPICAL
533	Bombina_fortinuptialis	MALASIA
534	Philautus_disgregus	MALASIA
535	Eleutherodactylus_cavernicola	NEOTROPICAL
536	Bolitoglossa_tatamae	NEOTROPICAL
537	Heterixalus_andrakata	AFROTROPICAL
538	Liophryne_schlaginhaufeni	AUSTRALIA
539	Pristimantis_caprifer	NEOTROPICAL
540	Kaloula_conjuncta	OCEANIA
541	Telmatobius_verrucosus	NEOTROPICAL
542	Dendropsophus_praestans	NEOTROPICAL
543	Eleutherodactylus_monensis	NEOTROPICAL
544	Pristimantis_scitulus	NEOTROPICAL
545	Melanophryniscus_spectabilis	NEOTROPICAL
546	Oscaecilia_polyzona	NEOTROPICAL
547	Eleutherodactylus_johnstonei	NEOTROPICAL
548	Hyperolius_watsonae	AFROTROPICAL
549	Pristimantis_yuruaniensis	NEOTROPICAL
550	Hyalinobatrachium_chirripoi	NEOTROPICAL
551	Leptodactylodon_stevarti	AFROTROPICAL
552	Micrixalus_elegans	MALASIA
553	Dendropsophus_padreluna	NEOTROPICAL
554	Microcaecilia_rochai	NEOTROPICAL
555	Eleutherodactylus_pinarensis	NEOTROPICAL
556	Telmatobius_hockingi	NEOTROPICAL
557	Litoria_wisselensis	AUSTRALIA
558	Mucubatrachus_lancinii	NEOTROPICAL
559	Pristimantis_crenunguis	NEOTROPICAL
560	Pseudophilautus_samarakoon	MALASIA
561	Amolops_daiyunensis	MALASIA
562	Rhinella_bernardoi	NEOTROPICAL
563	Odorrana_andersonii	MALASIA
564	Arthroleptis_adelphus	AFROTROPICAL
565	Insuetophrynus_acarpicus	NEOTROPICAL
566	Ameerega_petersi	NEOTROPICAL
567	Desmognathus_imitator	NEARTIC
568	Pristimantis_permixtus	NEOTROPICAL
569	Psychrophrynella_illimani	NEOTROPICAL
570	Pristimantis_croceoinguinis	NEOTROPICAL
571	Mantella_crocea	AFROTROPICAL
572	Taudactylus_rheophilus	AUSTRALIA
573	Eleutherodactylus_intermedius	NEOTROPICAL
574	Babina_chapaensis	MALASIA
575	Litoria_havina	AUSTRALIA
576	Allobates_gasconi	NEOTROPICAL
577	Litoria_timida	AUSTRALIA
578	Leptobrachium_banae	MALASIA
579	Boophis_liami	AFROTROPICAL
580	Ophryophryne_gerti	MALASIA
581	Pseudophilautus_temporalis	MALASIA
582	Platymantis_montanus	OCEANIA
583	Plethodon_cinereus	AFROTROPICAL
584	Leptolalax_kecil	MALASIA
585	Bryophryne_bustamantei	NEOTROPICAL
586	Hypsiboas_curupi	NEOTROPICAL
587	Pyxicephalus_adspersus	AFROTROPICAL
588	Kassina_jozani	AFROTROPICAL
589	Rhinella_lindae	NEOTROPICAL
590	Philautus_pallidipes	MALASIA
591	Rhacophorus_norhayatii	MALASIA
592	Pristimantis_lucasi	NEOTROPICAL
593	Hylarana_banjarana	MALASIA
594	Atelopus_zeteki	NEOTROPICAL
595	Dendropsophus_gryllatus	NEOTROPICAL
596	Scinax_acuminatus	NEOTROPICAL
597	Leptolalax_nahangensis	MALASIA
