ID	Species	Range	sd.phy	sd.rg	Latitude	Longitude	meanT0	meanT1	Haldane	P_Rescue	P_RescueP	rescuep_save_05	rescuep_save_095
6147	Herpele_squalostoma	97	1.573137094	1.573137094	1.345360825	12.45876289	22.87388653	26.62160209	0.04861877	0.076	0.793	0	0
6148	Pristimantis_piceus	7	1.530139535	1.530139535	3.785714286	-75.92857143	18.99258273	22.96339978	0.064876715	0	0.176	1	0
6149	Chimerella_mariaelenae	6	2.448106797	2.448106797	-3.166666667	-78.66666667	20.77446224	24.5620293	0.030942825	0.783	1	0	1
6150	Austrochaperina_yelaensis	2	1.952040374	1.952040374	-11.5	154	27.09238071	30.09324683	0.034162159	0.66	1	0	1
6151	Rhacophorus_annamensis	10	0.7221559	0.7221559	13.5	108	23.42587849	26.62317663	0.102963599	0	0	1	0
6152	Nymphargus_megacheirus	4	0.823242849	0.823242849	0	-77.5	18.55272697	22.5193278	0.114720556	0	0	1	0
6153	Craugastor_epochthidius	2	3.088710158	3.088710158	15	-85.5	24.15009978	27.47250292	0.025610961	0.942	1	0	1
6154	Platymantis_indeprensus	1	1.353666936	1.353666936	14.5	121.5	26.2294746	29.31144918	0.047432498	0.09	0.815	0	0
6155	Chalcorana_megalonesa	1	1.435792679	1.435792679	1.5	112.5	24.05835859	27.72653422	0.052138953	0.017	0.66	0	0
6156	Odorrana_livida	2	2.270213268	2.270213268	16	98.5	24.75676877	28.14366101	0.036387387	0.54	0.998	0	1
6157	Agalychnis_callidryas	80	1.652221689	1.652221689	14.6625	-86.9	24.75405119	28.20757512	0.04543979	0.157	0.86	0	0
6158	Charadrahyla_chaneque	3	1.584352277	1.584352277	17.16666667	-93.5	24.09199277	28.46236662	0.056295121	0	0.485	1	0
6159	Pristimantis_nyctophylax	2	3.677453117	3.677453117	-0.5	-79	19.94015437	23.58617311	0.020233717	0.999	1	0	1
6160	Fejervarya_chilapata	1	0.86682641	0.86682641	26.5	89.5	18.20346611	22.14174122	0.100962804	0	0	1	0
6161	Eleutherodactylus_juanariveroi	1	1.080782816	1.080782816	18.5	-66.5	25.65540991	28.32218645	0.052498916	0.011	0.638	0	0
6162	Pelophryne_linanitensis	2	8.056527866	8.056527866	4	115.5	23.03782752	26.60778701	0.00923154	1	1	0	1
6163	Mannophryne_yustizi	1	2.285138453	2.285138453	9.5	-69.5	25.63317605	29.65228988	0.03997285	0.371	0.987	0	1
6164	Oreolalax_chuanbeiensis	4	1.561140072	1.561140072	32	104	6.800286845	11.39534581	0.063986947	0	0.185	1	0
6165	Anomaloglossus_parimae	1	0.181809927	0.181809927	2.5	-63.5	24.02930898	29.47979433	0.59958061	0	0	1	0
6166	Pseudophilautus_hankeni	1	2.839079938	2.839079938	6.5	80.5	26.58842914	29.66182745	0.025175191	0.944	1	0	1
6167	Dendropsophus_sartori	5	1.624811477	1.624811477	16.7	-99.3	24.56921296	28.55511419	0.05332928	0.008	0.588	0	0
6168	Microhyla_fusca	1	1.169682704	1.169682704	11.5	108.5	24.68295851	27.7813942	0.06622385	0	0.158	1	0
